"Transaction with installments can not be send as preauthorization","La transaction avec des versements ne peut pas être envoyée comme pré autorisation"
"Installments are not allowed for non ZABA cards","Les versements ne sont pas autorisés pour les cartes non ZABA"
"Transaction declined","Transaction refusée"
"Missing fields","Champs manquants"
"Extra fields exist","Des champs supplémentaires existent"
"Invalid card number","Numéro de carte invalide"
"Card not active","Carte non active"
"Card not configured","Carte non configurée"
"Invalid amount","Montant invalide"
"System Error, Database","Erreur de système, base de données"
"System Error, Transaction","Erreur de système, transaction"
"Cardholder not active","Le titulaire de la carte n'est pas actif"
"Cardholder not configured","Titulaire de la carte non configuré"
"Cardholder expired","Titulaire de la carte expiré"
"Original not found","Original non trouvé"
"Usage Limit Reached","Limite d'utilisation atteinte"
"Configuration error","Erreur de configuration"
"Invalid terminal","Terminal invalide"
"Inactive terminal","Terminal inactif"
"Invalid merchant","Vendeur invalide"
"Duplicate entity","Entité en double"
"Invalid Acquirer","Acquéreur invalide"
"Internal error - host down","Erreur interne - hôte hors ligne"
"Internal error - host timeout","Erreur interne - délai d'expiration de l'hôte"
"Internal error - invalid message","Erreur interne - message invalide"
"Internal error - message format error","Erreur interne - erreur de format de message"
"3D Secure error - invalid request","Erreur 3D Secure - demande non valide"
"Time expired","Temps écoulé"
"Function not supported","Fonction non prise en charge"
"Timeout","Temps écoulé"
"Authorization host not active","Hôte d'autorisation non actif"
"System not ready","Système pas prêt"
"3D Secure error - ECI 7","Erreur 3D Secure - ECI 7"
"3D Secure error - not 3D Secure, store policy","Erreur 3D Secure - pas 3D Secure, politique de stockage"
"3D secure error - not authenticated","Erreur de sécurité 3D - non authentifié"
"RISK: Minimum amount per transaction","RISQUE: Montant minimum par transaction"
"RISK: Maximum amount per transaction","RISQUE: Montant maximum par transaction"
"RISK: Number of repeats per PAN","RISQUE: Nombre de répétitions par PAN"
"RISK: Number of approved transactions per PAN","RISQUE: Nombre de transactions approuvées par PAN"
"RISK: Number of repeats per BIN","RISQUE: Nombre de répétitions par BIN"
"RISK: Total sum on amount","RISQUE: Somme totale sur le montant"
"RISK: Sum on amount of approved transactions per PAN","RISQUE: Somme du montant des transactions approuvées par PAN"
"RISK: Sum on amount of approved transactions per BIN","RISQUE: Somme du montant des transactions approuvées par BIN"
"RISK: Percentage of declined transactions","RISQUE: Pourcentage de transactions refusées"
"RISK: Number of chargebacks","RISQUE: Nombre de refacturations"
"RISK: Sum on amount of chargebacks","RISQUE: Somme du montant des rétrofacturations"
"RISK: Number of refunded transactions","RISQUE: Nombre de transactions remboursées"
"RISK: Percentage increment of sum on amount of refunded transactions","RISQUE: Pourcentage d'augmentation de la somme sur le montant des transactions remboursées"
"RISK: Number of approved transactions per PAN and MCC on amount","RISQUE: Nombre de transactions approuvées par PAN et MCC sur le montant"
"RISK: Number of retrieval requests","RISQUE: Nombre de demandes de récupération"
"RISK: Sum on amount of retrieval requests","RISQUE: Somme du nombre de demandes de récupération"
"RISK: Average amount per transaction","RISQUE: Montant moyen par transaction"
"RISK: Percentage increment of average amount per transaction","RISQUE: Augmentation en pourcentage du montant moyen par transaction"
"RISK: Percentage increment of number of transactions","RISQUE: Incrément en pourcentage du nombre de transactions"
"RISK: Percentage increment of total sum on amount","RISQUE: Augmentation en pourcentage de la somme totale sur le montant"
"RISK: Number of repeats per IP","RISQUE: Nombre de répétitions par IP"
"RISK: Number of repeats per cardholder name","RISQUE: Nombre de répétitions par nom de titulaire de carte"
"RISK: Number of repeats per cardholder e-mail","RISQUE: Nombre de répétitions par e-mail du titulaire de carte"
"Internal error - systan mismatch","Erreur interne - incompatibilité systan"
"Error with Capture Action.","Erreur avec l'action de capture."
"Trasaction is not Approved!","La transaction n'est pas approuvée!"
"Enter your credit card information.","Entrez vos informations de carte de crédit."
"Invalid credit card number","Numéro de carte de crédit non valide"
"Invalid expiry date","Date d'expiration non valide"
"Incorrect CVC number","Numéro CVC incorrect"
"Card number","Numéro de carte"
"Cvv","Cvv"
"Month","Mois"
"Year","An"
"No installments","Aucun versement"
"%1 installment(s)","%1 versement(s)"
"Pay","Payer"
"If you're not redirected automatically, click ""Pay"" button","Si vous n'êtes pas redirigé automatiquement, cliquez sur le bouton ""Payer"""
"Place Order","Passer l’ordre"
"Required field!","Champs requis!"
"You must enter 3 digits","Vous devez entrer 3 chiffres"
"Enabled","Activé"
"Title","Titre"
"Procesor","Procureur"
"Payment Type","Type de paiement"
"Payment Action","Action de paiement"
"Test Mode","Mode d'essai"
"Language","Langue"
"Key","Clé"
"Auth Token","Jeton d'authentification"
"Currency","Monnaie"
"New Order Status","Statut du nouvel ordre"
"Order Status ON Success","Statut de l’ordre en cas de succès"
"Order Status On Fail","État de l’ordre en cas d'échec"
"Payment from Applicable Countries","Paiement des pays concernés"
"Payment from Specific Countries","Paiement des pays spécifiques"
"Payment in installments","paiement échelonné"
"Number of installments","Nombre de versements"
"Minimum amount of payments in installments","Montant minimum des paiements échelonnés"
"Order percentage for payment in installments %","Pourcentage d’ordres pour paiement échelonné %"
"List of Credit card BINs","Liste des BIN des cartes de crédit"
"Order percentage %","Pourcentage d’ordres %"
"Instructions","Instructions"
"Sort Order","Ordre de tri"
