"Transaction Approved","Transaktion genehmigt"
"Card Expired","Karte abgelaufen"
"Card Suspicious","Karte verdächtig"
"Card Suspended","Karte gesperrt"
"Card Stolen","Karte gestohlen"
"Card Lost","Karte verloren"
"Card Not Found","Karte nicht gefunden"
"Cardholder Not Found","Karteninhaber nicht gefunden"
"Account Not Found","Konto nicht gefunden"
"Invalid Request","Ungültige Anforderung"
"Not Sufficient Funds","Unzureichende Deckung"
"Previously Reversed","Zuvor zurückgebucht"
"Further activity prevents reversal","Weitere Aktivität verhindert die Zurückbuchung"
"Further activity prevents void","Weitere Aktivität verhindert die Stornierung"
"Original transaction has been voided","Die ursprüngliche Transaktion wurde storniert"
"Preauthorization is not allowed for this card","Eine Vorautorisierung ist für diese Karte nicht zulässig"
"Only full 3D authentication is allowed for this card","Für diese Karte ist nur eine vollständige 3-D-Authentifizierung zulässig"
"Installments are not allowed for this card","Raten sind für diese Karte nicht zulässig"
"Transaction with installments can not be send as preauthorization","Transaktionen mit Raten können nicht als Vorautorisierung gesendet werden"
"Installments are not allowed for non ZABA cards","Raten sind für nicht-ZABA-Karten nicht zulässig"
"Transaction declined","Transaktion abgelehnt"
"Missing fields","Fehlende Felder"
"Extra fields exist","Zusätzliche Felder sind vorhanden"
"Invalid card number","Ungültige Kartennummer"
"Card not active","Karte nicht aktiv"
"Card not configured","Karte nicht konfiguriert"
"Invalid amount","Ungültiger Betrag"
"System Error, Database","Systemfehler, Datenbank"
"System Error, Transaction","Systemfehler, Transaktion"
"Cardholder not active","Karteninhaber nicht aktiv"
"Cardholder not configured","Karteninhaber nicht konfiguriert"
"Cardholder expired","Karteninhaber abgelaufen"
"Original not found","Original nicht gefunden"
"Usage Limit Reached","Nutzungslimit erreicht"
"Configuration error","Konfigurationsfehler"
"Invalid terminal","Ungültiges Terminal"
"Inactive terminal","Inaktives Terminal"
"Invalid merchant","Ungültiger Händler"
"Duplicate entity","Doppelte Entität"
"Invalid Acquirer","Ungültiger Käufer"
"Internal error - host down","Interner Fehler - Host ausgeschaltet"
"Internal error - host timeout","Interner Fehler - Host-Timeout"
"Internal error - invalid message","Interner Fehler - ungültige Mitteilung"
"Internal error - message format error","Interner Fehler - Fehler im Mitteilungsformat"
"3D Secure error - invalid request","3-D-Secure-Fehler - ungültige Anforderung"
"Time expired","Die Zeit ist abgelaufen"
"Function not supported","Die Funktion wird nicht unterstützt"
"Timeout","Zeitüberschreitung "
"Authorization host not active","Autorisierungshost nicht aktiv"
"System not ready","System nicht bereit"
"3D Secure error - ECI 7","3-D-Secure-Fehler - ECI 7"
"3D Secure error - not 3D Secure, store policy","3-D-Secure-Fehler - kein 3-D-Secure, Geschäftspolitik "
"3D secure error - not authenticated","3-D-Secure-Fehler - nicht authentifiziert"
"RISK: Minimum amount per transaction","RISIKO: Mindestbetrag pro Transaktion"
"RISK: Maximum amount per transaction","RISIKO: Maximaler Betrag pro Transaktion"
"RISK: Number of repeats per PAN","RISIKO: Anzahl der Wiederholungen pro PAN"
"RISK: Number of approved transactions per PAN","RISIKO: Anzahl der genehmigten Transaktionen pro PAN"
"RISK: Number of repeats per BIN","RISIKO: Anzahl der Wiederholungen pro BIN"
"RISK: Total sum on amount","RISIKO: Gesamtsumme des Betrags"
"RISK: Sum on amount of approved transactions per PAN","RISIKO: Summe der genehmigten Transaktionen pro PAN"
"RISK: Sum on amount of approved transactions per BIN","RISIKO: Summe der genehmigten Transaktionen pro BIN"
"RISK: Percentage of declined transactions","RISIKO: Prozentsatz der abgelehnten Transaktionen"
"RISK: Number of chargebacks","RISIKO: Anzahl der Rückbuchungen"
"RISK: Sum on amount of chargebacks","RISIKO: Summe der Rückbuchungen"
"RISK: Number of refunded transactions","RISIKO: Anzahl der erstatteten Transaktionen"
"RISK: Percentage increment of sum on amount of refunded transactions","RISIKO: Prozentuales Inkrement der Summe der erstatteten Transaktionen"
"RISK: Number of approved transactions per PAN and MCC on amount","RISIKO: Anzahl der genehmigten Transaktionen pro PAN und MCC nach Betrag"
"RISK: Number of retrieval requests","RISIKO: Anzahl der Abrufanforderungen"
"RISK: Sum on amount of retrieval requests","RISIKO: Summe der Anzahl der Abrufanforderungen"
"RISK: Average amount per transaction","RISIKO: Durchschnittlicher Betrag pro Transaktion"
"RISK: Percentage increment of average amount per transaction","RISIKO: Prozentuales Inkrement des Durchschnittsbetrags pro Transaktion"
"RISK: Percentage increment of number of transactions","RISIKO: Prozentuales Inkrement der Anzahl der Transaktionen"
"RISK: Percentage increment of total sum on amount","RISIKO: Prozentuales Inkrement der Gesamtsumme"
"RISK: Number of repeats per IP","RISIKO: Anzahl der Wiederholungen pro IP"
"RISK: Number of repeats per cardholder name","RISIKO: Anzahl der Wiederholungen pro Karteninhabername"
"RISK: Number of repeats per cardholder e-mail","RISIKO: Anzahl der Wiederholungen pro E-Mail des Karteninhabers"
"Internal error - systan mismatch","Interner Fehler - Systan-Nichtübereinstimmung"
"Error with Capture Action.","Fehler der Eingabeaktion."
"Trasaction is not Approved!","Die Transaktion wurde nicht genehmigt!"
"Enter your credit card information.","Geben Sie Ihre Kreditkarteninformationen ein."
"Invalid credit card number","Ungültige Kreditkartennummer"
"Invalid expiry date","Ungültiges Ablaufdatum"
"Incorrect CVC number","Falsche CVC-Nummer"
"Card number","Kartennummer"
"Cvv","CVV"
"Month","Monat"
"Year","Jahr"
"No installments","Keine Raten"
"%1 installment(s)","%1 Rate(n)"
"Pay","Bezahlen"
"If you're not redirected automatically, click ""Pay"" button","Wenn Sie nicht automatisch umgeleitet werden, klicken Sie auf ""Bezahlen"""
"Place Order","Bestellung aufgeben"
"Required field!","Pflichtfeld!"
"You must enter 3 digits","Sie müssen 3 Ziffern eingeben"
"Enabled","Ermöglicht "
"Title","Titel"
"Procesor","Bearbeiter"
"Payment Type","Zahlungsart"
"Payment Action","Zahlungsaktion"
"Test Mode","Testmodus"
"Language","Sprache"
"Key","Schlüssel"
"Auth Token","Authentifizierungstoken"
"Currency","Währung"
"New Order Status","Neuer Bestellstatus"
"Order Status ON Success","Bestellstatus bei Erfolg"
"Order Status On Fail","Bestellstatus bei Misserfolg"
"Payment from Applicable Countries","Zahlung aus zutreffenden Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Payment in installments","Ratenzahlung"
"Number of installments","Ratenanzahl"
"Minimum amount of payments in installments","Mindestzahlungsbetrag für Ratenzahlung"
"Order percentage for payment in installments %","Bestellprozentsatz für Ratenzahlung %"
"List of Credit card BINs","Liste der Kreditkarten-BINs"
"Order percentage %","Bestellprozentsatz %"
"Instructions","Anweisungen"
"Sort Order","Bestellung sortieren"
